timestamp,tail,owner,airport,airport_name,leg
2023-06-30,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-06-30,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-06-30,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-06-30,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2023-06-29,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-06-29,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-06-28,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-06-28,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2023-06-27,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-06-27,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-06-26,N628TS,Elon Musk,PSA,Pisa Airport,departure
2023-06-26,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-06-25,N628TS,Elon Musk,MXP,Malpensa Airport,departure
2023-06-25,N628TS,Elon Musk,PSA,Pisa Airport,arrival
2023-06-23,N628TS,Elon Musk,PSA,Pisa Airport,departure
2023-06-23,N628TS,Elon Musk,MXP,Malpensa Airport,arrival
2023-06-23,N628TS,Elon Musk,TEB,Teterboro Airport,departure
2023-06-23,N628TS,Elon Musk,PSA,Pisa Airport,arrival
2023-06-20,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-06-20,N628TS,Elon Musk,TEB,Teterboro Airport,arrival
2023-06-19,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-06-19,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-06-17,N628TS,Elon Musk,DTW,Detroit Metropolitan Airport,departure
2023-06-17,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-06-17,N628TS,Elon Musk,LBG,Le Bourget Airport,departure
2023-06-17,N628TS,Elon Musk,DTW,Detroit Metropolitan Airport,arrival
2023-06-15,N628TS,Elon Musk,CIA,Ciampino Airport,departure
2023-06-15,N628TS,Elon Musk,LBG,Le Bourget Airport,arrival
